,Transect_ID,Location_ID,Core_Area,Transect
0,20210428161330-747415781.021118,20210427115620-14017641.544342,Within,4
1,20210428161330-613934934.139252,20210427115633-814490020.275116,Within,9
2,20210428161330-782138705.253601,20210427115652-45352756.9770813,Within,4
3,20210428161330-161743700.504303,20210427115652-45352756.9770813,Within,4A
4,20210428161330-807779788.970947,20210427115716-790480017.662048,Within,9
5,20210428161330-202618300.914764,20210427141933-785212218.761444,Within,8
6,20210428161330-956762433.052063,20210427141933-785212218.761444,Within,8A
7,20210428161330-65851032.7339172,20210427142142-543360590.934753,Within,110
8,20210428161330-61522245.4071045,20210427142258-364995419.979095,Outside,101
9,20210428161330-793197572.231293,20210427142258-364995419.979095,Outside,103
10,20210428161330-379604697.227478,20210427142258-364995419.979095,Outside,105
11,20210428161330-463584005.832672,20210427142258-364995419.979095,Outside,107
12,20210428161330-119544029.23584,20210427142258-364995419.979095,Outside,110
13,20210428161330-115470111.370087,20210427142258-364995419.979095,Outside,111
14,20210428161330-173773407.936096,20210427142621-542070209.980011,Within,11
15,20210428161330-48118889.3318176,20210427143500-657054960.727692,Within,3
16,20210428161330-714816331.863403,20210427143500-657054960.727692,Within,3A
17,20210428161330-533022344.112396,20210427143500-657054960.727692,Within,5
18,20210428161330-561009287.834167,20210427143500-657054960.727692,Within,7
19,20210428161330-216733515.262604,20210427143510-89641392.2309875,Within,25
